k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks
3,1.0,0.0,2.9625452558199563,1.2481039806837677,6
5,1.0,0.0,2.967644373575846,1.2512750092584695,6
7,1.0,0.0,2.9721915125846863,1.2541451929617256,6
10,1.0,0.0,2.978601853052775,1.2576098682321155,6
3,0.7,0.0,3.027573883533478,1.9893094248925238,6
5,0.7,0.0,3.0312426884969077,1.9942438432304705,6
7,0.7,0.0,3.0343926548957825,1.9977829730496115,6
10,0.7,0.0,3.039016624291738,2.0038684837433287,6
3,0.5,0.0,3.3470226724942527,2.4597790214063373,6
5,0.5,0.0,3.349149227142334,2.463712191521469,6
7,0.5,0.0,3.3509671688079834,2.466680144333209,6
10,0.5,0.0,3.353434383869171,2.472203142943734,6
3,0.7,0.5,3.389195362726847,1.7633315031376042,6
5,0.7,0.5,3.394352396329244,1.7685711045533492,6
7,0.7,0.5,3.3984100421269736,1.7735315361985697,6
10,0.7,0.5,3.4048372507095337,1.7821596387742382,6
3,1.0,0.5,3.4835051894187927,1.0278707940794767,6
5,1.0,0.5,3.4917715390523276,1.0312426153944854,6
7,1.0,0.5,3.4990645051002502,1.0349312661283683,6
10,1.0,0.5,3.5100669066111245,1.0414295824597557,6
3,0.5,0.5,3.5567104816436768,2.3332720712147665,6
5,0.5,0.5,3.5583736101786294,2.337731880901047,6
7,0.5,0.5,3.5590868989626565,2.3419550124954664,6
10,0.5,0.5,3.5607464710871377,2.349095786611379,6
3,0.3,0.0,3.8178049325942993,2.940875667463585,6
5,0.3,0.0,3.819106856981913,2.9431116968072843,6
7,0.3,0.0,3.820096492767334,2.9446719106300843,6
10,0.3,0.0,3.8211448788642883,2.948035306427414,6
3,0.7,0.8,3.886282523473104,2.052371147796642,6
3,0.5,0.8,3.891416331132253,2.4519557087109076,6
5,0.5,0.8,3.908611456553141,2.4522309537287215,6
5,0.7,0.8,3.9087651570638022,2.0545312919109087,6
7,0.5,0.8,3.924145003159841,2.4526200203654023,6
7,0.7,0.8,3.9283485412597656,2.057193527693328,6
3,0.3,0.5,3.9310324589411416,2.8881396148764407,6
5,0.3,0.5,3.931765874226888,2.8905300797002518,6
7,0.3,0.5,3.9319799343744912,2.8924919724440645,6
10,0.3,0.5,3.9327784180641174,2.8958694719649514,6
10,0.5,0.8,3.946842908859253,2.451278722529854,6
10,0.7,0.8,3.9578861792882285,2.0576525133500354,6
3,0.3,0.8,4.111024518807729,2.922534863283145,6
5,0.3,0.8,4.119191249211629,2.9244054188669075,6
7,0.3,0.8,4.127017478148143,2.9258052551498865,6
10,0.3,0.8,4.1376519203186035,2.927451530385313,6
3,1.0,0.8,4.193479319413503,1.77267569667944,6
5,1.0,0.8,4.224962015946706,1.7748410702188673,6
7,1.0,0.8,4.252987364927928,1.777530311085482,6
10,1.0,0.8,4.2949254512786865,1.776980876484031,6
